"ropamujer"	"correo"	"páginas"	"teléfono"	"impresa"	"servicio"	"idmercado"	"tamañomer"	"idloc"	"edadloc"	"promo"	"nomina"
"1"	16578.93	7978	73	34	22294.48	20	1	"Grande"	1	7	3	26780
"2"	43393.55	8029	65	24	27978.66	26	1	"Grande"	2	1	2	24789
"3"	30908.49	7752	85	20	28949.65	22	1	"Grande"	3	6	2	25121
"4"	28701.58	8685	74	17	22642.27	21	1	"Grande"	4	10	1	27648
"5"	29647.57	7847	87	30	27210.61	23	1	"Grande"	5	5	3	25982
"6"	31141.51	7881	79	28	26632.96	22	1	"Grande"	6	25	2	25036
"7"	31177.31	8121	72	27	30374.97	20	1	"Grande"	7	8	3	26079
"8"	30672.37	7811	83	35	26794.79	15	1	"Grande"	8	1	3	29174
"9"	33890.92	8811	74	30	28589.74	16	1	"Grande"	9	7	1	27081
"10"	51378	10309	105	45	38738.65	29	1	"Grande"	10	8	3	25819
"11"	18103.06	8081	66	35	22723.68	22	1	"Grande"	11	1	3	28484
"12"	20979.5	8378	59	20	24912.46	28	1	"Grande"	12	1	1	30808
"13"	34503.12	8586	60	25	29917.5	28	1	"Grande"	13	16	2	24704
"14"	26783.96	8438	82	35	20911.52	22	1	"Grande"	14	18	2	25542
"15"	31790.15	8589	91	28	26902.89	24	1	"Grande"	15	18	3	28016
"16"	32432.74	8565	80	25	26079.17	25	1	"Grande"	16	15	3	27157
"17"	37180.05	8526	64	24	35957.27	28	1	"Grande"	17	10	3	26374
"18"	29658.85	8978	74	32	25415.96	19	1	"Grande"	18	6	3	24981
"19"	33238.46	8761	87	28	26777.6	18	1	"Grande"	19	9	2	24335
"20"	35679.33	8512	105	33	30745.64	20	2	"Grande"	20	2	1	22977
"21"	46766.94	11120	87	29	25721.56	30	2	"Grande"	21	11	1	23252
"22"	21752.78	9115	65	30	26496.36	27	2	"Grande"	22	3	3	21936
"23"	37427.02	9358	72	28	28598.31	31	2	"Grande"	23	4	2	18185
"24"	37578.38	8835	78	21	28643.72	33	2	"Grande"	24	3	1	23507
"25"	34424.09	8565	91	24	34392.47	23	2	"Grande"	25	12	2	18115
"26"	34389.18	9109	58	33	29144.26	24	2	"Grande"	26	1	2	21523
"27"	34637.01	8613	92	23	29190.44	28	2	"Grande"	27	2	1	22956
"28"	34735.17	9152	91	24	27234.64	22	2	"Grande"	28	8	3	20214
"29"	33201.77	9132	82	32	28184.79	18	2	"Grande"	29	5	1	24263
"30"	51760.84	11574	82	40	33831.45	32	2	"Grande"	30	7	3	20474
"31"	20078.4	9383	86	32	22732.91	27	2	"Grande"	31	10	3	21444
"32"	34596.86	9003	54	27	33446.1	26	2	"Grande"	32	20	3	23028
"33"	35220.07	9435	71	17	29231.36	28	2	"Grande"	33	4	3	20926
"34"	36778.06	9069	52	36	27821.67	31	3	"Median"	34	3	1	20134
"35"	38882.75	9516	70	28	28836.56	35	3	"Median"	35	10	2	14337
"36"	39468.25	9174	90	36	28031.41	36	3	"Median"	36	5	2	14446
"37"	43817.01	9173	79	25	33723.18	34	3	"Median"	37	1	3	18608
"38"	46250.72	9887	92	32	30709.69	36	3	"Median"	38	4	2	15893
"39"	40400.87	8740	82	26	30619.22	32	3	"Median"	39	13	3	17006
"40"	60642.61	12768	89	39	28435.54	45	3	"Median"	40	6	1	19214
"41"	24400.76	9914	58	28	27746.94	37	3	"Median"	41	13	2	15185
"42"	37879.2	9516	84	28	26989.71	37	3	"Median"	42	15	1	21243
"43"	41884.14	9510	79	29	30117.31	41	3	"Median"	43	5	1	18818
"44"	53541.03	10378	79	33	30507.91	37	3	"Median"	44	4	1	17511
"45"	43131.16	10206	88	32	34386.65	35	4	"Pequeño"	45	5	1	22526
"46"	38643.97	9731	80	33	29018.32	33	4	"Pequeño"	46	11	1	21827
"47"	44413.45	9705	82	33	28299.6	35	4	"Pequeño"	47	3	2	18110
"48"	46639.55	9873	83	29	31942.43	36	4	"Pequeño"	48	10	3	22891
"49"	49281.79	10239	92	29	32450.62	40	4	"Pequeño"	49	17	3	20866
"50"	65196.81	12619	93	42	34049.63	49	5	"Grande"	50	1	2	19830
"51"	22513.18	9598	72	37	27092.93	31	5	"Grande"	51	7	3	23266
"52"	22573.29	9924	77	33	28142.24	28	5	"Grande"	52	10	2	20718
"53"	37414.13	9938	70	30	26488.64	32	5	"Grande"	53	8	1	23722
"54"	41151.05	10336	72	37	29197.42	38	5	"Grande"	54	10	1	24547
"55"	42418.67	10078	66	27	31539.69	37	5	"Grande"	55	7	2	19664
"56"	35911.73	10502	77	40	28424.15	28	5	"Grande"	56	7	1	24762
"57"	34901.72	9727	101	37	27467.78	30	5	"Grande"	57	5	3	23158
"58"	40581.52	10843	66	36	29982.77	32	5	"Grande"	58	7	1	24308
"59"	61179.2	10195	85	43	31706.32	40	5	"Grande"	59	24	1	24586
"60"	44547.37	10069	87	37	22909.04	40	5	"Grande"	60	2	1	23523
"61"	50375.31	10413	82	33	32400.11	42	5	"Grande"	61	17	2	20520
"62"	63823.61	13194	102	54	30816.16	50	5	"Grande"	62	4	2	18477
"63"	43726.64	10942	51	47	27131.9	43	5	"Grande"	63	2	3	22341
"64"	44153.56	10430	91	30	24608.19	45	5	"Grande"	64	22	3	23747
"65"	50111.22	10259	82	31	29251.61	56	5	"Grande"	65	1	1	26977
"66"	23246.3	10537	77	31	28675.14	49	5	"Grande"	66	15	3	23582
"67"	44048.71	11330	66	28	28903.27	41	5	"Grande"	67	7	3	21739
"68"	44370.37	10922	110	45	23991.03	36	5	"Grande"	68	5	2	18916
"69"	47942.89	10599	85	35	28956.02	38	6	"Pequeño"	69	9	2	18374
"70"	28526.25	11626	69	39	30864.11	40	6	"Pequeño"	70	5	1	20715
"71"	44341.36	10719	72	40	30878.74	42	7	"Pequeño"	71	8	2	15927
"72"	42483.37	11398	80	34	26957.77	42	7	"Pequeño"	72	13	2	17005
"73"	44115.29	10948	89	40	26925.34	44	7	"Pequeño"	73	4	1	20867
"74"	40648.21	11041	76	36	30604.92	33	7	"Pequeño"	74	10	2	16916
"75"	41637.65	11022	72	41	22690.31	41	7	"Pequeño"	75	6	3	18552
"76"	51194.98	10789	102	37	28642.16	45	7	"Pequeño"	76	22	1	23263
"77"	50884.34	11419	87	41	29108.63	47	7	"Pequeño"	77	6	1	20910
"78"	47875.82	11419	89	45	24164.44	43	7	"Pequeño"	78	9	1	21683
"79"	69112.81	13666	91	52	34843.65	54	8	"Median"	79	12	2	17745
"80"	25647.49	11611	75	40	23542.26	41	8	"Median"	80	6	3	18873
"81"	24421.91	10882	81	36	27434.75	35	8	"Median"	81	2	2	17901
"82"	41055.37	11096	87	43	31720.31	36	8	"Median"	82	11	2	17425
"83"	46385.56	11224	57	41	32246.55	46	8	"Median"	83	3	2	18277
"84"	45873.16	11483	104	41	29281.37	44	8	"Median"	84	3	3	19587
"85"	45480.15	11643	71	43	25594.92	49	8	"Median"	85	10	1	21763
"86"	48561.86	10893	66	40	28863.19	50	8	"Median"	86	4	3	19459
"87"	31578.77	1147	89	42	29526.59	45	8	"Median"	87	1	2	18440
"88"	57673.57	12260	106	38	26296.05	51	8	"Median"	88	2	3	18956
"89"	52061.74	11168	78	39	21447.37	50	9	"Grande"	89	6	3	15768
"90"	75818.17	14370	85	59	31109.75	63	9	"Grande"	90	4	3	17523
"91"	31267.58	11890	92	50	24474.3	53	9	"Grande"	91	5	1	18591
"92"	31514.68	11722	57	42	32105.83	50	9	"Grande"	92	15	1	18396
"93"	49715.25	11589	86	50	27143.16	53	9	"Grande"	93	6	2	14904
"94"	41038.75	11951	88	47	18061.2	41	9	"Grande"	94	18	2	17017
"95"	48329.36	11706	80	49	29071.06	46	9	"Grande"	95	22	2	16962
"96"	44961.98	11460	80	46	28232.17	43	9	"Grande"	96	8	1	18436
"97"	57791.14	12781	83	49	29911.68	54	9	"Grande"	97	10	2	15808
"98"	56329.4	11690	95	43	27872.97	55	9	"Grande"	98	2	3	16785
"99"	54617.35	11393	76	48	26047.7	53	9	"Grande"	99	18	2	17832
"100"	80245.97	15263	95	53	36666.6	68	9	"Grande"	100	1	1	20963
