"ropamujer"	"correo"	"páginas"	"teléfono"	"impresa"	"servicio"	"idmercado"	"tamañomer"	"idloc"	"edadloc"	"promo"	"nomina"
"1"	NA	14508	96	39	40027.78	52	6	"Pequeño"	101	6	2	18234
"2"	NA	9286	68	27	26337.39	38	3	"Median"	102	16	1	20014
"3"	NA	9281	80	36	27079.19	35	3	"Median"	103	12	3	17755
"4"	NA	9589	78	24	27145.35	28	2	"Grande"	104	11	3	21256
"5"	NA	10459	51	35	28918.53	34	5	"Grande"	105	3	3	23614
"6"	NA	10363	80	45	31244.64	38	5	"Grande"	106	6	1	23417
"7"	NA	10047	86	35	26973.08	35	3	"Median"	107	20	3	18687
"8"	NA	9305	114	27	28140.75	28	3	"Median"	108	12	3	18126
"9"	NA	8697	88	34	25929.75	26	2	"Grande"	109	15	1	23192
"10"	NA	8216	70	26	24515.26	27	2	"Grande"	110	11	3	21242
"11"	NA	8706	111	25	32808.14	20	1	"Grande"	111	12	1	29056
"12"	NA	10065	77	34	29963.57	37	7	"Pequeño"	112	11	2	17858
"13"	NA	9862	80	47	30981.43	42	6	"Pequeño"	113	1	2	19453
"14"	NA	11633	67	32	28349.67	58	9	"Grande"	114	1	2	17257
"15"	NA	11808	85	44	26668.16	45	9	"Grande"	115	18	2	14772
"16"	NA	11288	64	37	28652.3	32	8	"Median"	116	15	1	21220
"17"	NA	8290	88	29	27426.47	20	1	"Grande"	117	11	2	24884
"18"	NA	10260	99	26	24925.65	39	5	"Grande"	118	1	2	20420
"19"	NA	9679	90	22	25201.85	24	2	"Grande"	119	5	2	19253
"20"	NA	10315	75	47	29868.8	39	5	"Grande"	120	4	2	20477
